Start.Date,End.Date
10/01/2016 12:12,10/01/2016 13:05
10/01/2016 14:30,10/01/2016 14:37
10/01/2016 14:57,10/01/2016 15:05
10/01/2016 15:17,10/01/2016 15:24
10/01/2016 21:49,10/01/2016 22:08
11/01/2016 07:46,11/01/2016 08:00
11/01/2016 09:04,11/01/2016 09:12
11/01/2016 09:28,11/01/2016 09:38
11/01/2016 10:02,11/01/2016 10:18
11/01/2016 11:37,11/01/2016 11:44
11/01/2016 11:52,11/01/2016 12:17
11/01/2016 13:32,11/01/2016 13:38
11/01/2016 14:20,11/01/2016 15:00
11/01/2016 16:16,11/01/2016 16:39
11/01/2016 17:44,11/01/2016 18:07
12/01/2016 08:38,12/01/2016 08:44
12/01/2016 08:54,12/01/2016 09:04
12/01/2016 12:19,12/01/2016 12:31
12/01/2016 13:16,12/01/2016 13:25
12/01/2016 13:26,12/01/2016 13:31
12/01/2016 16:23,12/01/2016 16:49
12/01/2016 17:21,12/01/2016 17:28
12/01/2016 20:03,12/01/2016 20:10
13/01/2016 07:54,13/01/2016 08:09
13/01/2016 11:14,13/01/2016 11:26
13/01/2016 12:22,13/01/2016 12:32
13/01/2016 14:37,13/01/2016 14:45
13/01/2016 17:53,13/01/2016 18:14
13/01/2016 18:19,13/01/2016 18:30
13/01/2016 18:40,13/01/2016 18:53
13/01/2016 18:44,13/01/2016 18:46
13/01/2016 19:43,13/01/2016 20:01
13/01/2016 20:02,13/01/2016 20:26
14/01/2016 09:01,14/01/2016 09:11
14/01/2016 09:25,14/01/2016 09:44
14/01/2016 10:09,14/01/2016 10:30
14/01/2016 11:14,14/01/2016 12:03
14/01/2016 13:30,14/01/2016 13:42
14/01/2016 13:40,14/01/2016 14:35
14/01/2016 15:29,14/01/2016 15:41
14/01/2016 16:46,14/01/2016 16:55
14/01/2016 17:21,14/01/2016 17:27
14/01/2016 17:40,14/01/2016 17:48
14/01/2016 19:03,14/01/2016 19:18
15/01/2016 00:42,15/01/2016 00:46
15/01/2016 08:19,15/01/2016 08:22
15/01/2016 13:38,15/01/2016 13:45
15/01/2016 18:18,15/01/2016 18:27
16/01/2016 06:56,16/01/2016 07:03
16/01/2016 07:23,16/01/2016 07:40
16/01/2016 10:28,16/01/2016 10:54
16/01/2016 12:15,16/01/2016 12:28
16/01/2016 12:55,16/01/2016 14:12
16/01/2016 14:16,16/01/2016 14:26
16/01/2016 16:12,16/01/2016 16:18
16/01/2016 17:27,16/01/2016 17:45
16/01/2016 19:48,16/01/2016 19:55
17/01/2016 15:24,17/01/2016 16:10
17/01/2016 17:27,17/01/2016 17:48
17/01/2016 20:09,17/01/2016 20:13
18/01/2016 08:05,18/01/2016 08:14
18/01/2016 11:30,18/01/2016 11:33
18/01/2016 14:08,18/01/2016 14:27
18/01/2016 17:00,18/01/2016 17:04
18/01/2016 17:26,18/01/2016 17:36
18/01/2016 18:41,18/01/2016 18:52
19/01/2016 06:23,19/01/2016 06:41
19/01/2016 08:13,19/01/2016 08:33
19/01/2016 08:33,19/01/2016 08:56
19/01/2016 08:39,19/01/2016 08:43
19/01/2016 08:45,19/01/2016 09:05
19/01/2016 08:49,19/01/2016 09:07
19/01/2016 10:56,19/01/2016 11:23
19/01/2016 11:20,19/01/2016 11:33
19/01/2016 14:00,19/01/2016 14:03
19/01/2016 16:50,19/01/2016 16:58
19/01/2016 17:02,19/01/2016 17:04
19/01/2016 18:44,19/01/2016 18:50
20/01/2016 09:53,20/01/2016 10:05
20/01/2016 17:13,20/01/2016 17:19
20/01/2016 17:32,20/01/2016 17:51
20/01/2016 18:15,20/01/2016 18:21
20/01/2016 21:00,20/01/2016 21:17
20/01/2016 23:41,20/01/2016 23:55
21/01/2016 07:46,21/01/2016 08:07
21/01/2016 08:54,21/01/2016 09:08
21/01/2016 09:17,21/01/2016 09:27
21/01/2016 09:43,21/01/2016 10:00
21/01/2016 11:40,21/01/2016 11:49
22/01/2016 08:18,22/01/2016 08:41
22/01/2016 08:34,22/01/2016 08:42
22/01/2016 08:58,22/01/2016 09:17
22/01/2016 12:58,22/01/2016 13:22
22/01/2016 13:40,22/01/2016 13:47
22/01/2016 15:43,22/01/2016 15:54
22/01/2016 17:30,22/01/2016 17:51
22/01/2016 20:19,22/01/2016 20:40
22/01/2016 21:55,22/01/2016 22:14
23/01/2016 13:04,23/01/2016 13:25
23/01/2016 18:03,23/01/2016 18:29
